country_idx,safety_title,safety_url,created_at
13,"모리셔스, 뎅기열 재확산 주의 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=219&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-02-13
33,"설 연휴 기간 해외 여행객 신변안전 유의","https://www.0404.go.kr/dev/newest_view.nmofa?id=220&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-02-08
35,"칠레, 발파라이소(Valparaiso)지역 대형산불 발생","https://www.0404.go.kr/dev/newest_view.nmofa?id=221&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-02-05
미지정,"기존 8개국 및 6개 지역에 대한 여행금지 지정 6개월 연장","https://www.0404.go.kr/dev/newest_view.nmofa?id=223&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-02-01
35,"칠레 북부 산페드로 데 아타카마 사막 내 들개 주의","https://www.0404.go.kr/dev/newest_view.nmofa?id=224&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-01-18
25,"콜롬비아 및 페루로부터의 육로 입국 외국인(체류비자 소지자 제외) 대상 범죄경력증명서(아포스티유 및 스페인어 번역 공증 필요) 제출 의무화","https://www.0404.go.kr/dev/newest_view.nmofa?id=225&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-01-16
46,"파푸아뉴기니 대규모 소요사태 발생 등 치안 상황 급격 악화에 따른 신변안전 유의","https://www.0404.go.kr/dev/newest_view.nmofa?id=226&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-01-12
25,"에콰도르 무장괴한 방송국 난입, 전국 동시다발 공권력 대상 공격 등 치안 상황 급격 악화에 따른 신변안전 유의","https://www.0404.go.kr/dev/newest_view.nmofa?id=227&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-01-10
41,"태국 마약 성분 음료 및 제품 섭취 유의 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=228&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-01-05
24,"아이슬란드 그린다비크(Grindavik) 지역 화산 징후 관련 안전 공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=229&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2023-11-20
