country_idx,safety_title,safety_url,created_at
36,"대마 등 마약류 주의’ 당부 캠페인","https://www.0404.go.kr/dev/newest_view.nmofa?id=23337&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-19
36,"캄보디아 전자입국신고(E-Arrival) 시범운영기간 연장 안내(~'24.12.31.까지)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23338&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-19
7,"코펜하겐 공항 시스템 장애 발생 관련 공항 이용 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=23803&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-19
15,"(미국) 대마 및 대마 성분 제품의 위험성 경고(홍보 동영상)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23415&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-19
18,"(볼리비아) 안전여행 가이드북(2024.07)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23526&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-19
17,"[7.18.(목) 모바일 데이타 사용 중지 및 라이브 TV 안내]","https://www.0404.go.kr/dev/newest_view.nmofa?id=23250&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-18
16,"[중요]만달레이 지역 정세 관련 안전유의 당부","https://www.0404.go.kr/dev/newest_view.nmofa?id=23240&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-18
17,"[7.18.(목) 시위대 충돌과 모바일 데이타 이용 중지 등 신변 안전 공지]","https://www.0404.go.kr/dev/newest_view.nmofa?id=23251&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-18
7,"(안전공지) 덴마크 안전사고 유의","https://www.0404.go.kr/dev/newest_view.nmofa?id=23804&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-17
미지정,"(벨라루스) 출국 방법 안내(2024.7.17.기준)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23852&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-17
